what is the notable types of <e> 's profession	Vince_Bell	Creative_Work	__people__person__profession|__common__topic__notable_types	Vince_Bell##__people__person__profession##Songwriter##__common__topic__notable_types##Creative_Work
what is the recording of <e> 's country	Avargal	India	__film__film__country|__music__release_track__recording	Avargal##__film__film__country##India##__music__release_track__recording##India
what is the <e> 's nationality 's teams	Robert_Ménégoz	Strasbourg_IG|A1_Team_France	__people__person__nationality|__sports__sports_team_location__teams	Robert_Ménégoz##__people__person__nationality##France##__sports__sports_team_location__teams##Strasbourg_IG|Robert_Ménégoz##__people__person__nationality##France##__sports__sports_team_location__teams##A1_Team_France
what is the recordings of <e> 's appears in topic gallery	Free	Free	__common__image__appears_in_topic_gallery|__music__composition__recordings	Free##__common__image__appears_in_topic_gallery##Free##__music__composition__recordings##Free
what is the notable types of <e> 's track list	Reminiscence	Musical_Album	__music__release__track_list|__common__topic__notable_types	Reminiscence##__music__release__track_list##Evolution##__common__topic__notable_types##Musical_Album
what is the <e> 's tracks 's notable types	Lost	Musical_Album	__music__recording__tracks|__common__topic__notable_types	Lost##__music__recording__tracks##Lost##__common__topic__notable_types##Musical_Album
what is the <e> 's artist 's recording	Amsterdam	Another_Day	__music__recording__artist|__music__release_track__recording	Amsterdam##__music__recording__artist##Another_Day##__music__release_track__recording##Another_Day
what is the recording of <e> 's nationality	Pramatha_Nath_Bose	India	__people__person__nationality|__music__release_track__recording	Pramatha_Nath_Bose##__people__person__nationality##India##__music__release_track__recording##India
what is the artist of <e> 's genre	Straight-A_teacher	Joni_Mitchell	__book__book__genre|__music__recording__artist	Straight-A_teacher##__book__book__genre##Fiction##__music__recording__artist##Joni_Mitchell
what is the works of <e> 's organism type	Maintenon	Black_Beauty|Horse_Anatomy|Sidesaddle|Reining_in	__biology__organism__organism_type|__book__book_subject__works	Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Black_Beauty|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Horse_Anatomy|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Sidesaddle|Maintenon##__biology__organism__organism_type##Horse##__book__book_subject__works##Reining_in
what is the <e> 's track list 's tracks	The_Lonely_Bull	Mexico	__music__release__track_list|__music__recording__tracks	The_Lonely_Bull##__music__release__track_list##Mexico##__music__recording__tracks##Mexico
